name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
household cluster Ac,,2.0,12689.686591219319,4.96e+06,3.272e+06,1.167e+08,Ecological Scarcity total 2021,UBP
household cluster Ad,,2.0,8850.967002173544,1.445e+06,5.13e+06,1.717e+08,Ecological Scarcity total 2021,UBP
household cluster Af,,3.903755868544601,14767.446908936643,7.972e+06,6.799e+06,1.937e+08,Ecological Scarcity total 2021,UBP
household cluster B,,2.2418452935694315,9326.648475328317,3.086e+06,1.174e+06,1.35e+08,Ecological Scarcity total 2021,UBP
household cluster B1,,1.4195979899497488,3505.498178508206,3.443e+06,1.375e+06,8.568e+07,Ecological Scarcity total 2021,UBP
household cluster B2,,1.6835164835164835,6097.036036026813,4.645e+06,2.495e+06,1.169e+08,Ecological Scarcity total 2021,UBP
household cluster B3,,2.358490566037736,8548.269980418658,2.788e+06,2.114e+06,1.409e+08,Ecological Scarcity total 2021,UBP
household cluster B4,,2.775377969762419,11677.417093378835,4.567e+06,3.968e+06,1.766e+08,Ecological Scarcity total 2021,UBP
household cluster B5,,3.0311614730878187,18021.18714368838,6.435e+06,6.841e+06,1.838e+08,Ecological Scarcity total 2021,UBP
household cluster Ba,,1.0,6595.769988993452,2.676e+06,5.594e+05,6.884e+07,Ecological Scarcity total 2021,UBP
household cluster Bb,,1.0,4469.856387193869,4.931e+05,1.896e+06,6.703e+07,Ecological Scarcity total 2021,UBP
household cluster Bc,,2.0,12096.539535615664,4.082e+06,4.283e+06,1.439e+08,Ecological Scarcity total 2021,UBP
household cluster Bd,,2.0,7564.616703145055,3.541e+06,1.98e+06,1.465e+08,Ecological Scarcity total 2021,UBP
household cluster Bf,,3.926126126126126,12617.685702146942,2.917e+06,2.322e+06,2.006e+08,Ecological Scarcity total 2021,UBP
household cluster C,,2.1309627059843885,10237.210840458269,3.145e+06,1.572e+06,1.395e+08,Ecological Scarcity total 2021,UBP
household cluster C1,,1.3664921465968587,3477.435296017714,2.985e+06,2.54e+06,8.146e+07,Ecological Scarcity total 2021,UBP
household cluster C2,,1.6244725738396624,6131.931682800421,1.727e+06,1.526e+06,1.055e+08,Ecological Scarcity total 2021,UBP
household cluster C3,,1.9956709956709957,8600.780280819481,4.325e+06,2.252e+06,1.212e+08,Ecological Scarcity total 2021,UBP
household cluster C4,,2.597609561752988,11591.579566051794,4.262e+06,8.171e+05,1.608e+08,Ecological Scarcity total 2021,UBP
household cluster C5,,2.8724279835390947,19711.026472168727,9.431e+06,8.062e+06,1.71e+08,Ecological Scarcity total 2021,UBP
household cluster Ca,,1.0,7277.185179249147,3.415e+06,2.104e+06,6.761e+07,Ecological Scarcity total 2021,UBP
household cluster Cc,,2.0,13115.474302688117,2.028e+06,4.831e+06,1.261e+08,Ecological Scarcity total 2021,UBP
household cluster Cd,,2.0,8641.074130966039,2.856e+06,9.305e+05,1.401e+08,Ecological Scarcity total 2021,UBP
household cluster Cf,,3.880952380952381,14633.302856627777,3.417e+06,2.524e+06,1.975e+08,Ecological Scarcity total 2021,UBP
household cluster D,,2.156897572528123,11005.051495815293,2.853e+06,1.989e+06,1.275e+08,Ecological Scarcity total 2021,UBP
household cluster D1,,1.2777777777777777,3363.41467167353,2.091e+06,6.692e+05,8.111e+07,Ecological Scarcity total 2021,UBP
household cluster D2,,1.6930379746835442,6117.318713368987,-1.373e+05,2.783e+06,1.069e+08,Ecological Scarcity total 2021,UBP
household cluster D3,,2.0,8514.743672879698,3.542e+06,-8.211e+05,1.205e+08,Ecological Scarcity total 2021,UBP
household cluster D4,,2.5454545454545454,11662.850070053444,3.585e+06,7.948e+05,1.442e+08,Ecological Scarcity total 2021,UBP
household cluster D5,,2.808411214953271,20475.23079034112,6.538e+06,4.306e+06,1.48e+08,Ecological Scarcity total 2021,UBP
household cluster Da,,1.0,7611.536117572766,3.4e+06,2.931e+06,6.931e+07,Ecological Scarcity total 2021,UBP
household cluster Db,,1.0,5261.080365032772,2.335e+06,2.53e+06,7.612e+07,Ecological Scarcity total 2021,UBP
household cluster Dc,,2.0,14668.42091176862,3.018e+06,3.558e+06,1.284e+08,Ecological Scarcity total 2021,UBP
household cluster Dd,,2.0,9218.24972544879,4.38e+06,3.219e+06,1.289e+08,Ecological Scarcity total 2021,UBP
household cluster Df,,3.7951807228915664,14785.901705628434,3.926e+06,3.816e+06,1.82e+08,Ecological Scarcity total 2021,UBP
household cluster E,,2.281076801266825,9536.705301779408,2.302e+06,2.165e+06,1.598e+08,Ecological Scarcity total 2021,UBP
household cluster E1,,1.4115226337448559,3411.6650700139644,1.947e+06,6.991e+05,1.005e+08,Ecological Scarcity total 2021,UBP
