name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
household cluster A4,,2.8488745980707395,11593.741746335048,2100,2014,460.7,GWP100 IPCC 2021,kg CO2-eq
household cluster A5,,3.1707988980716255,21061.117126749312,2789,2658,655.9,GWP100 IPCC 2021,kg CO2-eq
household cluster Aa,,1.0,6953.167191949199,1260,1179,357.7,GWP100 IPCC 2021,kg CO2-eq
household cluster Ab,,1.0,5227.947598252331,1074,1027,225,GWP100 IPCC 2021,kg CO2-eq
household cluster Ac,,2.0,12689.686591219319,1969,1889,482.1,GWP100 IPCC 2021,kg CO2-eq
household cluster Ad,,2.0,8850.967002173544,1847,1759,471.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Af,,3.903755868544601,14767.446908936643,2660,2543,613.4,GWP100 IPCC 2021,kg CO2-eq
household cluster B,,2.2418452935694315,9326.648475328317,1844,1719,599.8,GWP100 IPCC 2021,kg CO2-eq
household cluster B1,,1.4195979899497488,3505.498178508206,1111,1039,303.5,GWP100 IPCC 2021,kg CO2-eq
household cluster B2,,1.6835164835164835,6097.036036026813,1418,1349,349.6,GWP100 IPCC 2021,kg CO2-eq
household cluster B3,,2.358490566037736,8548.269980418658,1834,1680,661.9,GWP100 IPCC 2021,kg CO2-eq
household cluster B4,,2.775377969762419,11677.417093378835,2209,2115,529.4,GWP100 IPCC 2021,kg CO2-eq
household cluster B5,,3.0311614730878187,18021.18714368838,2651,2535,617.5,GWP100 IPCC 2021,kg CO2-eq
household cluster Ba,,1.0,6595.769988993452,1291,1140,623.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Bb,,1.0,4469.856387193869,999.2,948.3,232.9,GWP100 IPCC 2021,kg CO2-eq
household cluster Bc,,2.0,12096.539535615664,2071,1987,462.9,GWP100 IPCC 2021,kg CO2-eq
household cluster Bd,,2.0,7564.616703145055,1778,1707,414.7,GWP100 IPCC 2021,kg CO2-eq
household cluster Bf,,3.926126126126126,12617.685702146942,2437,2324,569,GWP100 IPCC 2021,kg CO2-eq
household cluster C,,2.1309627059843885,10237.210840458269,1862,1771,461.8,GWP100 IPCC 2021,kg CO2-eq
household cluster C1,,1.3664921465968587,3477.435296017714,1063,1010,259.1,GWP100 IPCC 2021,kg CO2-eq
household cluster C2,,1.6244725738396624,6131.931682800421,1329,1276,298.4,GWP100 IPCC 2021,kg CO2-eq
household cluster C3,,1.9956709956709957,8600.780280819481,1799,1703,445.1,GWP100 IPCC 2021,kg CO2-eq
household cluster C4,,2.597609561752988,11591.579566051794,2080,1980,492.6,GWP100 IPCC 2021,kg CO2-eq
household cluster C5,,2.8724279835390947,19711.026472168727,2761,2626,704.1,GWP100 IPCC 2021,kg CO2-eq
household cluster Ca,,1.0,7277.185179249147,1306,1217,375.3,GWP100 IPCC 2021,kg CO2-eq
household cluster Cc,,2.0,13115.474302688117,2124,2021,507.1,GWP100 IPCC 2021,kg CO2-eq
household cluster Cd,,2.0,8641.074130966039,1796,1733,388,GWP100 IPCC 2021,kg CO2-eq
household cluster Cf,,3.880952380952381,14633.302856627777,2596,2475,642.9,GWP100 IPCC 2021,kg CO2-eq
household cluster D,,2.156897572528123,11005.051495815293,1858,1779,479.1,GWP100 IPCC 2021,kg CO2-eq
household cluster D1,,1.2777777777777777,3363.41467167353,1091,1027,260.5,GWP100 IPCC 2021,kg CO2-eq
household cluster D2,,1.6930379746835442,6117.318713368987,1385,1313,339.7,GWP100 IPCC 2021,kg CO2-eq
household cluster D3,,2.0,8514.743672879698,1629,1566,363.7,GWP100 IPCC 2021,kg CO2-eq
household cluster D4,,2.5454545454545454,11662.850070053444,1998,1920,475.9,GWP100 IPCC 2021,kg CO2-eq
household cluster D5,,2.808411214953271,20475.23079034112,2511,2435,527.3,GWP100 IPCC 2021,kg CO2-eq
household cluster Da,,1.0,7611.536117572766,1323,1235,376.5,GWP100 IPCC 2021,kg CO2-eq
household cluster Db,,1.0,5261.080365032772,1102,1047,261.2,GWP100 IPCC 2021,kg CO2-eq
household cluster Dc,,2.0,14668.42091176862,2069,1960,503.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Dd,,2.0,9218.24972544879,1794,1742,380.5,GWP100 IPCC 2021,kg CO2-eq
household cluster Df,,3.7951807228915664,14785.901705628434,2395,2299,520.1,GWP100 IPCC 2021,kg CO2-eq
